🎨 Інтерфейс та навігація,,
Зміни,Worksection 1.0,Worksection 2.0
Головна сторінка,Статична,"Працює як власний дашборд — користувач сам формує простір (віджети, Drag&Drop)"
Головне меню,"Горизонтальне верхнє меню, перезавантаження сторінок при переході","Сайдбар зліва зафіксований і доступний з будь-якої сторінки, можна налаштовувати під себе"
Інтерфейс,Класичний,Сучасний дизайн
Темна тема,Темна тема з обмеженою інверсією кольорів,"Повноцінна темна тема, більш зручна для роботи у вечірній та нічний час"
Мобільність,Адаптована десктопна версія,"Mobile-first дизайн, однаково зручний на будь-якому пристрої"
AI,Відсутній,Розумний пошук і короткі підсумки у коментарях
Відкриті вкладки,Відсутні,"Можливість згортати активні задачі, чернетки і чати на панелі відкритих вкладок і швидко перемикатися між ними"
Пошук і фільтри,Базові,"Новий зручний пошук, розширені фільтри у списках, віджетах і коментарях"
Навігація,Стандартні переходи між сторінками,"Сайдбар, відкриті вкладки та комбінації клавіш для миттєвого переходу до потрібної інформації"
,,
📊 Дашборди та аналітика,,
Зміни,Worksection 1.0,Worksection 2.0
Дашборди,Тільки дашборди проєктів,"Повноцінні власні дашборди з персоналізацією (Drag&Drop, конструктор)"
"Віджети (Активність, Мої задачі, Події, Статистика проєкту, Усі задачі)",Відсутні,"Набір готових віджетів для персоналізації дашборду (активність, завдання, події, статистика тощо) "
Налаштування віджетів,Відсутнє,"Зміна порядку, клонування, приховування"
Збережені режими відображення,Відсутні,"Фільтри, сортування, групування"
,,
🔒 Безпека та стандарти,,
Зміни,Worksection 1.0,Worksection 2.0
GDPR compliant,Повна відповідність GDPR,
ISO 27001,Сертифікація ISO 27001,
,,
💬 Комунікація та файли,,
Зміни,Worksection 1.0,Worksection 2.0
Коментарі,Базові коментарі в задачах,"Inline-відповіді, форматування, пошук, єдина стрічка"
Лог подій і коментарі,Разом у загальній стрічці,Розділені: системний лог і коментарі окремо
Чати,"Відсутні, тільки коментарі у контексті задач","Вбудовані робочі чати (чат проєкту, групові, вкладки, панель)"
Згадки,У коментарях,"У коментарях і чатах, з автодоповненням"
Файли,Просте завантаження без структури,"Файловий менеджер з версійністю, пошуком і структурою"
Відкриті вкладки чатів,Відсутні,Чати можна згортати на панелі відкритих вкладок і швидко перемикатися
,,
✅ Управління задачами,,
Зміни,Worksection 1.0,Worksection 2.0
Табличний вигляд ,"Відсутні, тільки списки задач","Є: Drag&Drop колонок, показ/приховування полів, inline-редагування (виконавці/терміни/пріоритети), сортування та фільтри по таблиці задач"
Структура задач,"Задачі й підзадачі, але без гнучкої ієрархії","Покращена візуалізація підзадач, показати/приховати, історія статусів"
Історія статусів,У загальній стрічці коментарів і подій ,Історію змін задачі в окремому вікні
Властивості задач,"Назва, опис, термін, виконавець","Нові властивості: реакції, зв’язки, автор задачі, нагадування + можливість додавати кастомні властивості"
Пріоритети,Тільки цифрова позначка,"Відображається цифрою та назвою. 
Пріоритети можна призначати та змінювати прямо у таблиці задач, на канбані та діаграмі Ганта"
Статуси,Стандартні статуси,Розширені статуси задач і проєктів
Звʼязки між задачами,Базові залежності,"Розширені: блокери, інформаційні зв’язки, залежності «почати після завершення»"
Нагадування,Базові нагадування,Автоматичні нагадування про дедлайни та інші події
Шаблони,Через копіпаст задач і проєктів ,Гнучкі шаблони задач і проєктів
Drag&Drop у списках задач,Обмежений,"Легке сортування задач, швидке створення підзадач і організація списків"
Доступ і API,Тільки базовий доступ,"Токени доступу, API для задач і проєктів"
,,
📅 Діаграма Ганта,,
Зміни,Worksection 1.0,Worksection 2.0
Інтерфейс,Класичний,"Новий, структурований і легкий для сприйняття (оновлений UX/UI)"
Можливості редагування,Через форму або календар,"Прямо на таймлайні: Drag&Drop, inline-редагування"
Масштаб,Дні / тижні / місяці (фіксовано),Дні / тижні / місяці з можливістю швидкого масштабування
Горизонт планування,Обмежений,На роки вперед + перегляд минулих періодів
Діаграма Ганта по людях,На рівні акаунта,"Доступний як у межах акаунта, так і в окремих проєктах "
Прострочення,Базовий маркер,Суцільна червона лінія до моменту закриття / зміни
Верхня панель,Не фіксована,Фіксована для зручної навігації
Ієрархія,Задачі / підзадачі,Задачі / підзадачі / під-підзадачі з можливістю згортання та розгортання 
Зв’язки між задачами,Базові залежності,"Гнучка система: блокери, інформаційні зв’язки, залежності «почати після завершення»"
Технологія оновлення,Перезавантаження сторінок,SPA: миттєві оновлення без перезавантажень
,,
🗂 Канбан,,
Зміни,Worksection 1.0,Worksection 2.0
Інтерфейс,"Канбан по днях, людях і проєктах
Канбан проєктів (тариф Преміум і вище)","Канбан по днях, людях і проєктах
Новий мінімалістичний інтерфейс з можливістю змінювати ширину колонок"
Можливості редагування,Перетягування карток між колонками (зміна статусу),"Перетягування карток, зміна виконавців, термінів і пріоритетів прямо з дошки"
Атрибути картки,"Назва, виконавець, термін",Розширене відображення атрибутів і редагування на дошці без відкриття задачі
Фільтри і сортування,"За базовими параметрами (статус, виконавець, мітки)","Розширені фільтри і сортування + пошук по беклогу (назви, мітки, виконавці)"
Пошук,За назвою (часткові збіги обмежені),Пошук підтримує часткові збіги (достатньо частини слова)
Ієрархія,"Підзадачі відображаються як окремі картки, без групування",Групування карток за ієрархією; можна перетягувати підзадачі окремо або всією групою
Масове редагування,Обмежене,"Вдосконалене: 
- вибір кількох карток (Shift/Ctrl+клік) 
- зміна статусу, пріоритету, термінів для групи карток
- копіювання, переміщення та видалення групи карток"
Продуктивність,Можливі перезавантаження сторінок,SPA: миттєві оновлення та взаємодія без перезавантаження
,,
