Функція,Оновлення у Worksection 2.0
🎨 Сучасний інтерфейс,"Новий дизайн із сайдбаром, повноцінною темною темою, mobile-first підходом і SPA-швидкодією (миттєва навігація без перезавантажень). Додано відкриті вкладки для швидкого перемикання між задачами й чатами, панель проєктів для швидкого пошуку/навігації, зручні комбінації клавіш."
🔎 Розумний пошук,"Оновлена панель пошуку з підтримкою семантичного пошуку (AI) та швидкого доступу до об’єктів. Пошук працює по назвах, мітках, виконавцях, беклогу; підтримує часткові збіги."
🔧 Удосконалені фільтри,"Розширені фільтри у списках, віджетах і коментарях, можливість зберігати вигляди (фільтри/сортування/групування) для швидкого доступу та роботи команди."
📊 Дашборди,"Власні дашборди з віджетами («Активність», «Мої задачі», «Події», «Статистика проєкту», «Усі задачі»), Drag&Drop переміщення, клонування/приховування віджетів, налаштування під кожного користувача."
📈 Звіти та аналітика,"Експорт звітів у CSV / Excel / PDF, розширені фільтри та налаштування для аналітики; KPI/метрики на рівні проєктів і команд (включно зі «Статистикою проєкту»)."
✅ Управління задачами ,"Нові властивості задач: кастомні поля, пріоритети, мітки, автор задачі, реакції-емоджі, нагадування. 
Історія статусів задачі.  
Розширені зв’язки (блокери, інформаційні зв’язки, «почати після завершення»).
Перетягування Drag&Drop у списках: швидке сортування, формування ієрархії, створення задач/підзадач без відкриття картки.
Виділення кількох карток на канбан-дошках (Shift/Ctrl) і групові дії: зміна статусів/виконавців/термінів, копіювання, переміщення, за потреби — видалення."
🧩 Гнучкі шаблони задач і проєктів,Шаблони задач і проєктів зі збереженими параметрами; швидкий старт типових процесів і повторюваних структур.
🗂 Канбан ,"Мінімалістичний інтерфейс із регульованою шириною колонок; пошук по беклогу (назви/мітки/відповідальні, з частковими збігами); ієрархія (перетягування підзадач окремо або групою); редагування на дошці (виконавці/терміни/пріоритети); масові дії через Drag&Drop; фільтри/сортування/персоналізація."
📅 Діаграма Ганта,"Inline-редагування на таймлайні (Drag&Drop), масштаб дні/тижні/місяці + швидке зумування, планування на роки (з переглядом минулих періодів), Гант по людях на рівні акаунта й проєкту, прострочення як суцільна червона лінія, закріплена верхня панель, ієрархія до під-підзадач (згортання), регульовані панелі, помітні дедлайни, розширені зв’язки, SPA-оновлення без перезавантажень."
💬 Новий модуль комунікацій,"Чати (проєктні/групові) з вкладками і панеллю чатів, розділення системного логу та коментарів, inline-відповіді й пошук у коментуваннях, @згадки з автодоповненням."
📁 Оновлене управління файлами,"Файловий менеджер із версійністю, пошуком і структурою; зручні дії з файлами в контексті задач і проєктів."
⏱️ Тайм-трекінг,"Старт/стоп таймера, вікно «затрати за сьогодні» інтегроване з таймером, детальніші звіти по витраченому часу. 
Погодинка: ставки billable/non-billable, гнучкий білінг годин."
📌 План дня (планування),Персональний планувальник «План дня»: календарна візуалізація; Drag&Drop задач; два режими перегляду («юзер-день» / «задача-день») з можливістю доступу для адміністратора.
🔗 Інтеграції,Нові конектори з популярними сервісами та відкритий API.
🛫 Міграція даних,Перехід на Worksection 2.0 в один клік. 
🔒 Безпека,"GDPR-відповідність, ISO 27001."
